;word;count;category
2821;Beteiligten;5;
2826;Naturhaushalt;5;
2828;Ortsbild;5;
2831;Kulturingenieure;5;
2837;Kessler;5;
2838;grundsätzlich;5;
2851;folgenden;5;
2868;Erschliessung;5;
2901;stand;5;
2913;Noch;5;
3034;vignoble;5;
3043;Paris;5;
3088;Tage;5;
3127;Schule;5;
3264;Naturschutz;5;
3284;er-;5;
3309;stärken;5;
3347;Landschaftsschutzes;5;
3366;Bauen;5;
3369;allgemeinen;5;
3429;SA;5;
3480;C.;5;
3507;Betrachter;5;
3533;mehrere;5;
3542;hohe;5;
3605;1916;5;
3615;Christ;5;
3617;Bauerngartens;5;
3686;Weine;5;
3881;1999;5;
3950;gar;5;
3955;Strasse;5;
3956;führt;5;
4020;kantonalen;5;
4036;tung;5;
4069;brauchen;5;
4110;findet;5;
4120;tik;5;
4163;rung;5;
4174;Wallis;5;
4252;Sommer;5;
4349;bewusst;5;
4449;weite;5;
4544;intakten;5;
4594;Fenster;5;
4694;sol-;5;
4826;kleinen;5;
4917;Bereich;5;
4927;gerichtet;5;
4933;che;5;
4937;gestaltete;5;
4945;Berechtigung;5;
4968;Wem;5;
4971;Ruhe;5;
4980;Kann;5;
4981;privatrechtliche;5;
4989;ähnliche;5;
5298;Epesses;5;
5361;Augen;5;
5380;suchen;5;
5388;Kulturerbes;5;
5466;eigenen;5;
5525;Unesco;5;
5537;aufgenommen;5;
5691;Publikation;5;
5775;by;5;
5790;zerstört;5;
5801;Reichtum;5;
5830;D.;5;
5871;neuer;5;
5888;Technik;5;
5898;Landschaftsentwicklung;5;
5938;denken;5;
6087;Flüsse;5;
6097;bildet;5;
6114;entstand;5;
6224;Rhein;5;
6377;Gäste;5;
6408;Fax;5;
6664;Heute;5;
6828;Bedürfnissen;5;
7053;Verbindung;5;
7135;BLN;5;
7141;Unterstützung;5;
7449;Industriekultur;5;
7788;Ed;5;
8212;Zusammenhänge;5;
8243;Christian;5;
8245;56;5;
8293;42;5;
8402;Bl;5;
8559;1979;5;
8694;Kümmerly;5;
8797;ln;5;
8834;Gehring;5;
8835;Katrin;5;
10667;Appenzellerland;5;
10668;Oberengadin;5;
10700;8009;5;
11443;Senn;5;
11444;Allenspach;5;
11445;Worblentalstrasse;5;
11446;Ittigen;5;
11447;3003;5;
11450;322;5;
11451;58/Fax;5;
11452;E-mail;5;
11453;maria.senn;5;
11454;bafu.admin.ch;5;
8;UNESCO;4;
36;Weinberg-Terrassen;4;
72;präsentiert;4;
81;Texten;4;
134;halten;4;
145;beider;4;
187;Rebbau;4;
212;Bewohner;4;
215;Rebgebiets;4;
227;Niklaus;4;
242;Beschreibung;4;
258;erwähnt;4;
269;Struktur;4;
274;Stäfa;4;
275;1980;4;
355;Dem;4;
413;Dorf;4;
422;Schloss;4;
427;weiten;4;
449;Gemäss;4;
490;dank;4;
519;Aufgaben;4;
520;gehört;4;
537;Fotos;4;
555;landwirtschaftliche;4;
570;Funktionen;4;
574;unterschieden;4;
589;umfassende;4;
625;Lösung;4;
626;genannten;4;
631;men;4;
658;Landschaftswandel;4;
670;ökologischen;4;
672;z;4;
712;Wirtschaft;4;
737;z.;4;
748;Geogr;4;
756;Frutigen;4;
812;stärker;4;
818;Alle;4;
828;Realität;4;
